adm_cd,admi_cd,sgg_nm,admi_nm,확충필요성,구분,판정_유동,판정_정주,z_유동,z_정주,living_pop,households,apartment,non_apt_households,apt_ratio,parking_slots,slots_per_100_nonapt
11050530,11215710,광진구,화양동,검토대상,유동만 부족(방문객 수요형),공급부족,보통,-1.1819359952034592,-0.9381878862806704,40331.944475,17705,1594.0,16111.0,0.0900310646709968,44.0,0.2731053317609087
11130750,11410585,서대문구,신촌동,검토대상,유동만 부족(방문객 수요형),공급부족,보통,-1.3387014561954471,-0.8851834350482718,59575.58899166667,14258,1562.0,12696.0,0.1095525319119091,46.0,0.3623188405797101
11190560,11560560,영등포구,당산2동,검토대상,유동만 부족(아파트 흡수형),공급부족,보통,-1.0251447051193292,-0.7572152704606502,39112.11537083334,17737,9151.0,8586.0,0.5159271579184755,52.0,0.605637083624505
11230650,11680650,강남구,역삼2동,검토대상,유동만 부족(아파트 흡수형),공급부족,보통,-1.0775187735785086,-0.7282230310240579,43447.3369375,14345,8698.0,5647.0,0.6063436737539212,52.0,0.92084292544714
11240800,11710680,송파구,잠실3동,검토대상,유동만 부족(아파트 흡수형),공급부족,보통,-1.3135587673518536,-0.5969620202123642,60892.22084166666,11157,10831.0,326.0,0.9707806758089093,48.0,14.723926380368098
11070650,11260630,중랑구,묵2동,검토대상,일치,공급부족,공급부족,-3.452200145827359,-3.4937399288563773,17291.35295416667,8487,1649.0,6838.0,0.1942971603629079,1.0,0.0146241591108511
11080640,11290640,성북구,정릉3동,검토대상,일치,공급부족,공급부족,-3.3124305060560095,-3.4896658733808232,13061.516195833334,7192,745.0,6447.0,0.103587319243604,1.0,0.0155110904296572
11250650,11740640,강동구,성내1동,검토대상,일치,공급부족,공급부족,-3.499184825026589,-3.462903798369461,19001.349120833333,7718,3339.0,4379.0,0.4326250323918113,1.0,0.0228362639872116
11220640,11650620,서초구,방배3동,검토대상,일치,공급부족,공급부족,-3.4786827441138786,-3.369390647264723,18235.315108333332,5286,4153.0,1133.0,0.7856602345819145,1.0,0.088261253309797
11050660,11215840,광진구,자양3동,검토대상,일치,공급부족,공급부족,-2.869488488054756,-2.6735425190466575,26334.852295833334,10226,6938.0,3288.0,0.6784666536280071,4.0,0.121654501216545
11210730,11620735,관악구,대학동,검토대상,일치,공급부족,공급부족,-2.7997120542828045,-2.625921446966828,31414.403329166667,17519,2414.0,15105.0,0.137793253039557,5.0,0.033101621979477
11180610,11545710,금천구,시흥5동,검토대상,일치,공급부족,공급부족,-2.2522978132502023,-2.570797992693836,10470.299904166666,8187,1377.0,6810.0,0.1681934774642726,5.0,0.0734214390602055
11210610,11620615,관악구,중앙동,검토대상,일치,공급부족,공급부족,-2.2108181667431386,-2.4593100725480666,12589.065041666669,9836,1006.0,8830.0,0.1022773485156567,6.0,0.0679501698754246
11040590,11200590,성동구,금호1가동,검토대상,일치,공급부족,공급부족,-2.376811286502741,-2.4429706881867106,13443.050429166666,5901,4828.0,1073.0,0.8181664124724622,5.0,0.4659832246039142
11010730,11110650,종로구,혜화동,검토대상,일치,공급부족,공급부족,-2.5349132598614865,-2.243435970404925,37318.209683333334,9113,876.0,8237.0,0.096126412816855,8.0,0.0971227388612358
11030650,11170650,용산구,이태원1동,검토대상,일치,공급부족,공급부족,-1.8926407266703598,-2.0718166926917583,12344.782383333331,3104,627.0,2477.0,0.2019974226804123,9.0,0.3633427533306419
11210660,11620665,관악구,서림동,검토대상,일치,공급부족,공급부족,-1.7487783276450017,-1.9638205186642412,14582.6426625,14348,1784.0,12564.0,0.1243378868134931,12.0,0.0955109837631327
11040720,11200615,성동구,금호2.3가동,검토대상,일치,공급부족,공급부족,-1.8616376007369375,-1.9468294679317864,15917.781179166666,8662,4942.0,3720.0,0.5705379819903025,11.0,0.2956989247311828
11010640,11110640,종로구,이화동,검토대상,일치,공급부족,공급부족,-2.3232954571510764,-1.9452303179304666,40206.22647916667,3820,185.0,3635.0,0.0484293193717277,11.0,0.3026134800550206
11120740,11380625,은평구,역촌동,검토대상,일치,공급부족,공급부족,-2.1088596108444877,-1.8643914575619571,38509.3351625,19595,2637.0,16958.0,0.1345751467211023,14.0,0.0825569052954357
