adm_cd,admi_cd,sgg_nm,admi_nm,등급,종합점수,appeal,parking_pct,z_residual,supply_ratio,parking_slots,expected_slots,slots_per_1k,living_pop,store_food,store_cafe,facility_cnt
11010570,11110570,종로구,무악동,공영주차 없음,,4.018912529550828,,,,0.0,,0.0,5371.064570833333,24.0,19.0,42.0
11010680,11110680,종로구,창신2동,공영주차 없음,,10.520094562647754,,,,0.0,,0.0,6297.837545833333,113.0,19.0,38.0
11030530,11170530,용산구,남영동,공영주차 없음,,79.66903073286052,,,,0.0,,0.0,21326.262191666665,443.0,115.0,147.0
11030580,11170580,용산구,효창동,공영주차 없음,,13.6327817178881,,,,0.0,,0.0,9558.666279166666,33.0,33.0,66.0
11030640,11170640,용산구,이촌2동,공영주차 없음,,1.103230890464933,,,,0.0,,0.0,8240.083566666666,22.0,9.0,26.0
11030700,11170700,용산구,보광동,공영주차 없음,,16.863672182821116,,,,0.0,,0.0,6277.987012500001,120.0,23.0,70.0
11030720,11170560,용산구,원효로1동,공영주차 없음,,54.17651694247439,,,,0.0,,0.0,17712.271637499998,250.0,80.0,94.0
11040520,11200520,성동구,왕십리2동,공영주차 없음,,17.02127659574468,,,,0.0,,0.0,13317.7122875,110.0,30.0,63.0
11040560,11200560,성동구,행당1동,공영주차 없음,,63.829787234042556,,,,0.0,,0.0,47848.997112499994,281.0,77.0,130.0
11040620,11200620,성동구,금호4가동,공영주차 없음,,21.670606776989757,,,,0.0,,0.0,11588.5823,109.0,27.0,84.0
11050630,11215810,광진구,광장동,공영주차 없음,,56.14657210401892,,,,0.0,,0.0,33943.592958333335,166.0,74.0,139.0
11060710,11230710,동대문구,회기동,공영주차 없음,,64.26319936958235,,,,0.0,,0.0,15483.66435,407.0,122.0,84.0
11060840,11230570,동대문구,전농2동,공영주차 없음,,27.22616233254531,,,,0.0,,0.0,12364.953579166666,120.0,27.0,102.0
11060900,11230750,동대문구,이문2동,공영주차 없음,,13.987391646966117,,,,0.0,,0.0,9945.435866666669,74.0,26.0,71.0
11080580,11290580,성북구,돈암1동,공영주차 없음,,2.2458628841607564,,,,0.0,,0.0,9076.333545833331,31.0,8.0,42.0
11080610,11290610,성북구,보문동,공영주차 없음,,29.62962962962963,,,,0.0,,0.0,12410.64065,143.0,44.0,77.0
11080620,11290620,성북구,정릉1동,공영주차 없음,,14.657210401891254,,,,0.0,,0.0,12211.793124999998,90.0,28.0,63.0
11080650,11290650,성북구,정릉4동,공영주차 없음,,37.78565799842396,,,,0.0,,0.0,14357.3893125,131.0,32.0,133.0
11080660,11290660,성북구,길음1동,공영주차 없음,,41.843971631205676,,,,0.0,,0.0,30723.832816666665,138.0,42.0,129.0
11080680,11290685,성북구,길음2동,공영주차 없음,,44.56264775413712,,,,0.0,,0.0,20350.0535375,154.0,56.0,112.0
11080710,11290715,성북구,월곡1동,공영주차 없음,,40.97714736012608,,,,0.0,,0.0,23149.0906125,158.0,47.0,108.0
11080720,11290725,성북구,월곡2동,공영주차 없음,,64.8936170212766,,,,0.0,,0.0,22190.290900000004,285.0,73.0,135.0
11080830,11290575,성북구,동선동,공영주차 없음,,84.04255319148936,,,,0.0,,0.0,26231.7666375,535.0,178.0,146.0
