adm_cd,admi_cd,sgg_nm,admi_nm,living_pop,store_food,parking_slots,expected_slots,supply_ratio,residual,z_residual,grade
11250650,11740640,강동구,성내1동,18992.460725,251.0,1.0,112.49616315694763,0.008889192057198096,-4.038621851005515,-3.492649764745231,공급부족
11220640,11650620,서초구,방배3동,18530.35184375,66.0,1.0,110.8449087526259,0.009021614174735924,-4.023965987812039,-3.4799751943043047,공급부족
11070650,11260630,중랑구,묵2동,17224.16863125,219.0,1.0,106.08485168794935,0.009426416534393802,-3.9804743460679264,-3.442363088514272,공급부족
11080640,11290640,성북구,정릉3동,13126.217390625,130.0,1.0,90.1005105028402,0.0110987162494321,-3.8188162274536053,-3.3025591626263133,공급부족
11050660,11215840,광진구,자양3동,26196.638721875,196.0,4.0,136.42979952126066,0.02931910780515848,-3.3136753253617544,-2.8657071081525736,공급부족
11210730,11620735,관악구,대학동,31924.607409375,335.0,5.0,153.5893976609257,0.032554330416988395,-3.249013085407539,-2.8097864090884213,공급부족
11010730,11110650,종로구,혜화동,37118.95273125,525.0,8.0,168.0965742644019,0.047591689687956795,-2.933245419725625,-2.5367066546708337,공급부족
11040590,11200590,성동구,금호1가동,13309.98985625,58.0,5.0,90.8572343559886,0.05503139112081546,-2.7284761020531643,-2.359619634498916,공급부족
11010640,11110640,종로구,이화동,40387.405421875,237.0,11.0,176.80418426754727,0.06221572213106876,-2.695776206578152,-2.331340363388262,공급부족
11230530,11680531,강남구,논현2동,43855.08540625,927.0,13.0,185.73590205674054,0.0699918532499367,-2.590638000553384,-2.2404155518843787,공급부족
11180610,11545710,금천구,시흥5동,10404.505959375,158.0,5.0,78.33729038895362,0.06382656299668303,-2.581948793383758,-2.232901018834135,공급부족
11210610,11620615,관악구,중앙동,12617.517496875,203.0,6.0,87.98312091497284,0.06819489849420571,-2.5425365500497357,-2.1988168268778163,공급부족
11120740,11380625,은평구,역촌동,38317.45616875,419.0,14.0,171.3242811007709,0.08171637966346036,-2.4413278558968163,-2.1112903054890024,공급부족
11220530,11650530,서초구,서초3동,66816.514515625,908.0,23.0,238.9020602392821,0.09627376162835688,-2.3021769273694646,-1.9909508739415471,공급부족
11030650,11170650,용산구,이태원1동,12234.220890625,582.0,9.0,86.36478206062286,0.10420914388092294,-2.167507157209318,-1.8744868031717068,공급부족
11040720,11200615,성동구,금호2.3가동,15875.06733125,220.0,11.0,101.01217368640071,0.1088977654728059,-2.1401855062413158,-1.8508587039471938,공급부족
11210660,11620665,관악구,서림동,14564.80868125,139.0,12.0,95.91548842628023,0.12511013806933893,-2.008889987942745,-1.7373127276178093,공급부족
11250670,11740660,강동구,성내3동,26993.318375,466.0,18.0,138.90147385373712,0.12958825778158375,-1.9964994375012326,-1.7265972274592993,공급부족
11110730,11350710,노원구,상계9동,12016.42945625,51.0,11.0,85.43608358312461,0.12875122007784456,-1.9744985729011195,-1.707570609616719,공급부족
